Sample_num,Class
5411,Mixed or Not Classified
5412,Natural Wooded Land
5413,Natural Wooded Land
5414,Mixed or Not Classified
5415,Natural Wooded Land
5416,Shrubs
5417,Mixed or Not Classified
5418,Mixed or Not Classified
5419,Natural Wooded Land
5421,Planted Forest
5422,Planted Forest
5435,Mixed or Not Classified
5443,Natural Wooded Land
5445,Mixed or Not Classified
5453,Annual Crops
5455,Shrubs
5456,Mixed or Not Classified
5457,Shrubs
5458,Shrubs
5459,Natural Wooded Land
5460,Natural Wooded Land
5464,Planted Forest
5468,Natural Wooded Land
5469,Natural Wooded Land
5473,Planted Forest
5474,Natural Wooded Land
5475,Shrubs
5476,Mixed or Not Classified
5477,Planted Forest
5478,Mixed or Not Classified
5479,Mixed or Not Classified
5480,Mixed or Not Classified
5481,Planted Forest
5485,Planted Forest
5486,Natural Wooded Land
5487,Planted Forest
5488,Mixed or Not Classified
5489,Shrubs
5490,Shrubs
5491,Mixed or Not Classified
5493,Planted Forest
5497,Natural Wooded Land
5498,Shrubs
5499,Mixed or Not Classified
5500,Planted Forest
5501,Mixed or Not Classified
5502,Natural Wooded Land
5504,Shrubs
5506,Shrubs
5509,Natural Wooded Land
5510,Mixed or Not Classified
5511,Natural Wooded Land
5512,Mixed or Not Classified
5513,Natural Wooded Land
5514,Mixed or Not Classified
5515,Mixed or Not Classified
5516,Mixed or Not Classified
5519,Mixed or Not Classified
5524,Natural Wooded Land
5525,Mixed or Not Classified
5527,Shrubs
5528,Natural Wooded Land
5562,Annual Crops
5563,Annual Crops
5564,Planted Forest
5566,Natural Wooded Land
5567,Mixed or Not Classified
5568,Planted Forest
5570,Mixed or Not Classified
5575,Annual Crops
5577,Mixed or Not Classified
5579,Planted Forest
5580,Natural Wooded Land
5583,Natural Wooded Land
5585,Natural Wooded Land
5586,Planted Forest
5587,Planted Forest
5588,Mixed or Not Classified
5589,Mixed or Not Classified
5590,Mixed or Not Classified
5594,Natural Grassland
5596,Natural Wooded Land
5597,Mixed or Not Classified
5599,Natural Wooded Land
5600,Planted Forest
5603,Mixed or Not Classified
5611,Planted Forest
5613,Planted Forest
5623,Built-up
5624,Mixed or Not Classified
5627,Annual Crops
5629,Natural Grassland
5632,Annual Crops
5633,Annual Crops
5634,Natural Grassland
5635,Planted Forest
5638,Natural Wooded Land
5639,Shrubs
5640,Mixed or Not Classified
5641,Shrubs
5642,Mixed or Not Classified
5643,Annual Crops
5645,Annual Crops
5647,Annual Crops
5653,Permanent Crops
5655,Annual Crops
5657,Annual Crops
5658,Annual Crops
5660,Annual Crops
5664,Mixed or Not Classified
5665,Natural Wooded Land
5669,Shrubs
5670,Shrubs
5671,Shrubs
5678,Built-up
5679,Built-up
5680,Shrubs
5681,Shrubs
5682,Natural Wooded Land
5683,Natural Wooded Land
5684,Planted Forest
5686,Planted Forest
5687,Planted Forest
5689,Annual Crops
5691,Annual Crops
5693,Annual Crops
5695,Mixed or Not Classified
5696,Built-up
5697,Built-up
5698,Built-up
5699,Mixed or Not Classified
5700,Built-up
5701,Built-up
5702,Mixed or Not Classified
5703,Permanent Crops
5704,Permanent Crops
5706,Annual Crops
5707,Planted Forest
5709,Planted Forest
5710,Planted Forest
5711,Planted Forest
5713,Planted Forest
5718,Natural Wooded Land
5719,Planted Forest
5720,Mixed or Not Classified
5721,Mixed or Not Classified
5722,Planted Forest
5723,Mixed or Not Classified
5724,Built-up
5725,Built-up
5728,Mixed or Not Classified
5729,Mixed or Not Classified
5738,Waterbodies
5740,Built-up
5741,Built-up
5743,Natural Wooded Land
5744,Natural Wooded Land
5745,Natural Wooded Land
5757,Natural Grassland
5758,Mixed or Not Classified
5764,Annual Crops
5767,Natural Wooded Land
5771,Planted Forest
5772,Mixed or Not Classified
5773,Built-up
5774,Built-up
5777,Built-up
5778,Mixed or Not Classified
5779,Mixed or Not Classified
5786,Natural Wooded Land
5787,Natural Wooded Land
5788,Annual Crops
5789,Annual Crops
5790,Natural Wooded Land
5791,Natural Wooded Land
5797,Natural Wooded Land
5802,Natural Wooded Land
5841,Natural Wooded Land
5866,Natural Wooded Land
5879,Built-up
5880,Built-up
5881,Built-up
5882,Built-up
5885,Permanent Crops
5886,Permanent Crops
5887,Permanent Crops
5888,Built-up
5889,Mixed or Not Classified
5899,Planted Forest
5900,Natural Wooded Land
5902,Built-up
5903,Mixed or Not Classified
5916,Built-up
5917,Mixed or Not Classified
5918,Mixed or Not Classified
5919,Natural Wooded Land
5926,Mixed or Not Classified
5928,Shrubs
5929,Natural Wooded Land
5930,Mixed or Not Classified
5931,Natural Wooded Land
5932,Mixed or Not Classified
5933,Natural Wooded Land
5934,Mixed or Not Classified
5935,Natural Wooded Land
5936,Natural Grassland
5937,Natural Wooded Land
5938,Mixed or Not Classified
5939,Natural Wooded Land
5940,Mixed or Not Classified
5941,Natural Wooded Land
5943,Mixed or Not Classified
5944,Planted Forest
5945,Planted Forest
5949,Planted Forest
5950,Planted Forest
5953,Planted Forest
5954,Mixed or Not Classified
5956,Natural Wooded Land
5957,Planted Forest
5960,Planted Forest
5961,Planted Forest
5962,Natural Wooded Land
5963,Planted Forest
5966,Mixed or Not Classified
5967,Planted Forest
5968,Planted Forest
5971,Mixed or Not Classified
5972,Mixed or Not Classified
5974,Natural Wooded Land
5977,Planted Forest
5991,Built-up
5992,Planted Forest
5993,Planted Forest
5994,Planted Forest
5995,Planted Forest
5996,Planted Forest
5997,Mixed or Not Classified
5998,Planted Forest
5999,Planted Forest
6000,Planted Forest
6001,Mixed or Not Classified
6002,Natural Wooded Land
6003,Planted Forest
6004,Natural Wooded Land
6005,Planted Forest
6007,Built-up
6008,Built-up
6009,Natural Grassland
6011,Permanent Crops
6012,Permanent Crops
6018,Planted Forest
6020,Planted Forest
6021,Mixed or Not Classified
6022,Natural Wooded Land
6023,Natural Wooded Land
6024,Mixed or Not Classified
6029,Natural Wooded Land
6031,Natural Wooded Land
6032,Natural Wooded Land
6033,Mixed or Not Classified
6034,Natural Wooded Land
6035,Natural Wooded Land
6036,Mixed or Not Classified
6041,Waterbodies
6042,Mixed or Not Classified
6043,Built-up
6044,Permanent Crops
6045,Permanent Crops
6046,Permanent Crops
6047,Annual Crops
6050,Annual Crops
6051,Mixed or Not Classified
6052,Mixed or Not Classified
6058,Built-up
6066,Shrubs
6104,Shrubs
6110,Mixed or Not Classified
6116,Mixed or Not Classified
6163,Shrubs
6165,Shrubs
6192,Natural Grassland
6201,Shrubs
6223,Mixed or Not Classified
6225,Mixed or Not Classified
6231,Mixed or Not Classified
6250,Mixed or Not Classified
6259,Mixed or Not Classified
6285,Shrubs
6303,Shrubs
6318,Planted Forest
6321,Natural Wooded Land
6322,Planted Forest
6328,Planted Forest
6331,Planted Forest
6333,Mixed or Not Classified
6334,Planted Forest
6336,Mixed or Not Classified
6337,Mixed or Not Classified
6338,Planted Forest
6339,Mixed or Not Classified
6341,Mixed or Not Classified
6343,Planted Forest
6345,Mixed or Not Classified
6349,Mixed or Not Classified
6350,Natural Wooded Land
6352,Planted Forest
6354,Mixed or Not Classified
6355,Planted Forest
6356,Shrubs
6358,Planted Forest
6361,Mixed or Not Classified
6362,Mixed or Not Classified
6368,Built-up
6369,Built-up
6371,Permanent Crops
6372,Permanent Crops
6383,Built-up
6384,Built-up
6385,Shrubs
6386,Planted Forest
6387,Planted Forest
6388,Natural Wooded Land
6389,Mixed or Not Classified
6390,Mixed or Not Classified
6391,Natural Wooded Land
6401,Mixed or Not Classified
6402,Mixed or Not Classified
6414,Natural Wooded Land
6415,Natural Wooded Land
6417,Natural Wooded Land
6460,Natural Wooded Land
6462,Natural Wooded Land
6475,Natural Wooded Land
6495,Natural Wooded Land
6503,Mixed or Not Classified
6530,Natural Wooded Land
6551,Natural Wooded Land
6556,Natural Wooded Land
6592,Natural Wooded Land
6602,Mixed or Not Classified
6623,Natural Wooded Land
6625,Natural Wooded Land
6636,Natural Wooded Land
6651,Natural Wooded Land
6664,Shrubs
6674,Natural Wooded Land
6677,Natural Wooded Land
6685,Shrubs
6694,Mixed or Not Classified
6702,Natural Wooded Land
6704,Natural Wooded Land
6709,Natural Wooded Land
6715,Natural Wooded Land
6741,Natural Wooded Land
6746,Natural Wooded Land
6757,Mixed or Not Classified
6761,Mixed or Not Classified
6794,Natural Wooded Land
6824,Natural Wooded Land
6827,Shrubs
6857,Natural Wooded Land
6875,Shrubs
6888,Natural Wooded Land
6899,Mixed or Not Classified
6904,Mixed or Not Classified
6921,Mixed or Not Classified
6932,Natural Wooded Land
6947,Mixed or Not Classified
6952,Mixed or Not Classified
6973,Mixed or Not Classified
6979,Natural Wooded Land
6984,Natural Wooded Land
6994,Natural Wooded Land
7011,Mixed or Not Classified
7013,Mixed or Not Classified
7022,Natural Wooded Land
7044,Mixed or Not Classified
7068,Mixed or Not Classified
7080,Mixed or Not Classified
7081,Consolidated Barren
7082,Shrubs
7083,Mixed or Not Classified
7084,Consolidated Barren
7085,Mixed or Not Classified
7086,Shrubs
7087,Mixed or Not Classified
7088,Mixed or Not Classified
7089,Mixed or Not Classified
7090,Natural Grassland
7091,Shrubs
7092,Mixed or Not Classified
7093,Shrubs
7094,Mixed or Not Classified
7095,Mixed or Not Classified
7096,Mixed or Not Classified
7097,Mixed or Not Classified
7098,Shrubs
7099,Shrubs
7100,Mixed or Not Classified
7101,Natural Grassland
7102,Shrubs
7103,Shrubs
7104,Shrubs
7105,Shrubs
7106,Consolidated Barren
7111,Permanent Crops
7112,Permanent Crops
7113,Mixed or Not Classified
7114,Mixed or Not Classified
7115,Planted Forest
7116,Planted Forest
7117,Planted Forest
7118,Annual Crops
7120,Built-up
7121,Built-up
7127,Waterbodies
7135,Waterbodies
7136,Waterbodies
7140,Waterbodies
7183,Waterbodies
7220,Waterbodies
7227,Waterbodies
7238,Waterbodies
7269,Waterbodies
7278,Waterbodies
7280,Waterbodies
7292,Waterbodies
7297,Mixed or Not Classified
7298,Mixed or Not Classified
7300,Natural Wooded Land
7301,Natural Wooded Land
7302,Natural Wooded Land
7303,Planted Forest
7308,Annual Crops
7310,Annual Crops
7311,Annual Crops
7326,Annual Crops
7327,Annual Crops
7328,Annual Crops
7340,Shrubs
7341,Natural Wooded Land
7342,Mixed or Not Classified
7343,Shrubs
7344,Built-up
7345,Built-up
7346,Built-up
7347,Built-up
7349,Annual Crops
7355,Mixed or Not Classified
7356,Built-up
7367,Waterbodies
7391,Waterbodies
7400,Waterbodies
7406,Waterbodies
7410,Annual Crops
7412,Wetlands
7413,Wetlands
7414,Wetlands
7415,Wetlands
7416,Mixed or Not Classified
7424,Natural Grassland
7436,Waterbodies
7438,Waterbodies
7439,Waterbodies
7440,Waterbodies
7470,Waterbodies
7493,Waterbodies
7496,Waterbodies
